,식당명,카테고리,위도,경도,도로명
0,망원동 즉석우동,우동,37.5542454081282,126.91113318815265,서울 마포구 동교로 83
1,이치젠,텐동,37.5566585450825,126.904548055636,서울 마포구 포은로 109
2,청어람,곱창전골,37.558105169041376,126.907469581002,서울 마포구 망원로 97
3,소금집 델리,샌드위치,37.55682364858841,126.9082362313625,서울 마포구 월드컵로19길 14
4,헤키,돈까스,37.5552408925752,126.90978977413248,서울 마포구 동교로9길 33
0,옛집,김치찌개,37.5471126395399,127.106828264965,서울 광진구 아차산로76가길 18
1,어울림,막걸리,37.54845309615863,127.10199247106137,서울 광진구 광장로1나길 10
2,태천면옥,평양냉면,37.5471271297866,127.102682076505,서울 광진구 광장로 49
3,다야,국수,37.547736635976,127.102185001297,서울 광진구 광장로1길 20
4,스시토푸,스시,37.5474442106504,127.106824211698,서울 광진구 아차산로 612
0,계탄집,닭갈비,37.53427164761069,127.06774903738048,서울 광진구 능동로 31
2,스타벅스,카페,37.532684910590675,127.0678788432194,서울 광진구 능동로 18
3,어테이블,백반,37.532259195598,127.070177427462,서울 광진구 능동로4길 51
6,메밀의 정석,막국수,37.5331176043456,127.069064938247,서울 광진구 능동로4길 27
7,좁은식당,돈까스,37.5326164508066,127.067850496467,서울 광진구 능동로 18
0,파오파오,만두,37.50890155968363,127.08404008178898,서울 송파구 석촌호수로12길 22
1,도삭면공방,도삭면,37.50988304776105,127.0797160660903,서울 송파구 백제고분로7길 8-12
2,남경막국수,막국수,37.5098610512894,127.08540519734886,서울 송파구 석촌호수로 74
3,신천돼지,삼겹살,37.5094996526123,127.081719859872,서울 송파구 백제고분로9길 24
4,구룡포 세꼬시,횟집,37.50709817935163,127.09192906757633,서울 송파구 석촌호수로 134
0,더리버사이드호텔 더가든키친,뷔페,37.51844103360476,127.01831710791937,서울 서초구 강남대로107길 6
1,한성돈까스,돈가스,37.5147467954767,127.01909667688476,서울 서초구 강남대로97길 10
2,영동설렁탕,설렁탕,37.51615082556445,127.01737204634458,서울 서초구 강남대로101안길 24
3,멘야하나비,마제소바,37.5162481008013,127.01759603488,서울 서초구 강남대로101안길 18-1
4,꿉당,삼겹살,37.5166046809321,127.018998740542,서울 서초구 강남대로 615
0,차알,중식,37.503981162740146,127.00634466462353,서울 서초구 사평대로 205
1,포비,베이글,37.5030811466671,127.0043982361031,서울 서초구 신반포로 지하 188
2,마루심,장어덮밥,37.5018941389855,127.010481410861,서울 서초구 고무래로10길 10
3,브루클린더버거조인트,수제버거,37.49612455949264,126.99973990731235,서울 서초구 서래로2길 27
4,플레이버즈,뷔페,37.504038004397266,127.00466406715701,서울 서초구 신반포로 176
0,스즈란테이,일본가정식,37.51996235308729,126.97429919475923,서울 용산구 이촌로 245
1,아경면선 ,곱창국수,37.5198216681669,126.973715546253,서울 용산구 이촌로 248
2,오통영,한식,37.5179343638194,126.979806410218,서울 용산구 이촌로 300
4,르 번미,쌀국수,37.520479703197374,126.9751134850591,서울 용산구 이촌로77길 19
5,솜씨,한정식,37.520766248743,126.975240085356,서울 용산구 이촌로65가길 78
0,진주집,콩국수,37.52059128119736,126.9269500559961,서울 영등포구 국제금융로6길 33
1,가양 칼국수 버섯매운탕,칼국수,37.52093631287084,126.93136936451896,서울 영등포구 국제금융로 78
2,별미볶음점,제육,37.5207534483037,126.926928404924,서울 영등포구 국제금융로6길 33
3,정인면옥,냉면,37.53077816623998,126.92157407940762,서울 영등포구 국회대로76길 10
4,화목순대국,순대국,37.519269537219614,126.93150663353379,서울 영등포구 여의대방로 383
0,상암일미락,삼겹살,37.57637341523888,126.89725513651453,서울 마포구 성암로13길 40
1,더브래드팬트리,빵,37.5765922349262,126.896086557107,서울 마포구 매봉산로2길 64
3,먼스 스컬프쳐,커피,37.5632661318244,126.906395862355,서울 마포구 성산로2길 21-31
4,도야지,삼겹살,37.5656746243921,126.903205452482,서울 마포구 모래내로1길 20
5,구움소리,구움과자,37.5768462812349,126.894021332318,서울 마포구 월드컵북로44길 57-12
0,고성막국수,막국수,37.5774570636626,126.816147933842,서울 강서구 방화대로49길 6-7
1,방화동 교동짬뽕,짬뽕,37.57725372854616,126.81575560825779,서울 강서구 금낭화로24나길 21
2,원조나주곰탕,곰탕,37.57261539150457,126.8100561370831,서울 강서구 양천로14길 10
3,사모님짬뽕,짬뽕,37.5750759617352,126.812282248651,서울 강서구 금낭화로18길 10
4,포도나무가든,추어탕,37.5739374990741,126.81252962088,서울 강서구 양천로17길 7
0,또순이네,소고기,37.5357808716531,126.89529689817451,서울 영등포구 선유로47길 16
1,너도나도식당,제육볶음,37.5381717837607,126.893904107658,서울 영등포구 양평로 126
2,김밥처럼,김밥,37.5361861113582,126.89505986023,서울 영등포구 선유로49길 23
3,온수반,쌀국수,37.538595139230736,126.89377678225296,서울 영등포구 양평로22가길 6
4,뚜스뚜스 카페&베이커리,베이커리,37.5384561449394,126.893509951033,서울 영등포구 양평로 132
