,대여점명,주소(위치),자전거 수,위도,경도,주소
0,광나루,서울 강동구 천호동 483-8 (자전거 안전 교육장 인근),90,37.5454408612397,127.119850611256,서울 강동구 천호동 483-8
1,잠실,서울 송파구 잠실동 1-1 (잠실유람선 선착장 앞),100,37.5177740347208,127.082348760182,서울 송파구 잠실동 1-1
2,잠원,서울 강남구 압구정동 386 (한남대교 남단 밑 상류 방향),80,37.5272932075631,127.018867504096,서울 강남구 압구정동 386
3,반포,서울 서초구 잠원동 122-2 (반포 나들목 앞),130,37.5122335219044,127.002423679871,서울 서초구 잠원동 122-2
4,여의도1 (원효대교),서울 영등포구 여의도동 85 (원효대교 남단 하류 여의도나들목 앞),250,37.5252133499778,126.936317496379,서울 영등포구 여의도동 85
5,여의도2 (여의나루),서울 영등포구 여의도동 84-4 (여의나루역 2번 출구 밑),250,37.5281725589378,126.932510800097,서울 영등포구 여의도동 84-4
6,여의도3 (마포대교),서울 영등포구 여의도동 84-9 (마포대교 남단 하류 물빛광장 앞),250,37.5312466908117,126.928686496763,서울 영등포구 여의도동 84-9
7,양화,서울 영등포구 노들로 237 (유람선 선착장 앞 주차장 그늘막),60,37.53799,126.9031655,서울 영등포구 노들로 237
8,강서,서울 강서구 방화동 59 (방화대교 남단 밑 하류 방향),60,37.5847687950155,126.819414395268,서울 강서구 방화동 59
9,뚝섬,서울 광진구 자양동 110-1 (청담대교 북단 밑),215,37.5313645154923,127.066892902668,서울 광진구 자양동 110-1
10,이촌,서울 용산구 이촌로72길 62 (거북선나루터 옆),65,37.517820588578,126.970850893942,서울 용산구 이촌로72길 62
11,망원,서울 마포구 망원동 294-8 (성산대교 북단 밑 상류 방향),60,37.5562402099395,126.894487714574,서울 마포구 망원동 294-8
12,난지,서울 마포구 상암동 482-154 (자전거공원 익스트림장 옆),130,37.5651809843124,126.880857793741,서울 마포구 상암동 482-154
